Línea	Id propuesta	Propuesta	Tipo elemento	Id elemento	Relación	Valor	Claim?	"Claim+premise?
WHY?"	Relacionado con aspecto?	Validación premisa(s)	Coherencia lógica p->c	Consistencia p1 <> p2	Persuasión	Apelación emocioal/ética (pathos/ethos)	
142	61		Argumento	104	En contra	El Ayuntamiento de Madrid ha cortado la luz debido a que el Ministerio no paga y en la zona de Pozuelo de momento hay alumbrado.	1	1	1	2	1	1	1	1	
143	61		Argumento	105	En contra	La razón muy simple, han desvalijado el centro de transformación, no quedan ni las puertas. No habrá luz, pero tampoco funcionan los radares. España es así.	1	1	1	0	0	1	2	2	
144	61		Aspecto	Eficiencia Regulatoria		Normativas sobre la eficiencia energética en alumbrado público.									
145	61		Argumento	106	A favor	El Reglamento de Eficiencia Energética de Alumbrado Exterior ya establece que en función del tráfico en carreteras o de peatones en aceras, el alumbrado pude rebajarse la iluminancia hasta en un 50 incluso con sensores de presencia que vuelvan al 100 al paso de vehículos y personas.	1	0	1						
146	72	Cierre de los centros comerciales domingos y festivos													
147	72	Regularización de horaraios en comercios domingos y festivos, ya que los trabajadores están actualmente soportando turnos que no permiten disfrutar de la vida familiar.													
148	72		Aspecto	Impacto en los trabajadores		Consideración de las condiciones laborales y el bienestar de los empleados de los centros comerciales									
149	72		Argumento	107	A favor	Los trabajadores de los centros también tenemos derecho a estar con la familia, descansar, hacer vida.	1	0	1						
150	72		Argumento	108	A favor	Creo que la conciliación laboral es un derecho, que esta ley ha quitado.	1	0	0						
151	72		Argumento	109	A favor	Los centros comerciales deberían cerrar todos los festivos y domingos.	1	0	0						
152	72		Argumento	110	En contra	A tener en cuenta que menos horas de apertura significan menos horas de trabajo y menos empleados o reducción de jornadas.	1	0	1						
153	72		Argumento	111	En contra	Otras ventajas del trabajo en fin de semana es que puede ser compatible con estudios u otras actividades y que debería redundar en más gente contratada no la misma gente pero más explotada.	1	1	1	2	1	1	1	1	
154	72		Argumento	112	En contra	Es cuestión de controlar a los empresarios.	0								
155	72		Aspecto	Impacto económico		Evaluación de las consecuencias económicas de cerrar los centros comerciales en días festivos y domingos									
156	72		Argumento	113	A favor	Antiguamente no había apertura del centro comercial y no pasaba nada todo el mundo hacía sus compras igualmente.	0								
157	72		Argumento	114	A favor	Antes se abría un domingo al mes y todos nos apañábamos.	0								
158	72		Argumento	115	En contra	Te echarían a la calle si no abrieran los domingos ya que venderían menos.	1	1	1	1	2	2	2	1	
159	72		Argumento	116	En contra	La ecuación es la siguiente, más ventas = a más empleados.	0								
160	72		Aspecto	Calidad de vida y ocio		Reflexión sobre cómo afecta la apertura de centros comerciales en festivos y domingos a la calidad de vida y actividades de ocio									
161	72		Argumento	117	A favor	Los sábados y domingos la mayoría se dedican a ir para pasear por que se aburren en casa.	1	1	1	1	1	1	1	1	
162	72		Argumento	118	A favor	Salvemos la vida de los barrios, consumamos cultura, ocio, paseos.	1	0	1						
163	72		Argumento	119	A favor	En lugar de estar paseando, fomentando la cultura en un museo, en el cine, teatro.	0								
164	72		Aspecto	Derechos laborales		Enfoque en el respeto y cumplimiento de los derechos laborales de los trabajadores de centros comerciales									
165	72		Argumento	120	A favor	Es increíble que a los trabajadores nos obliguen a trabajar en festivos, y si no te echan a la calle.	1	1	1	1	2	1	2	1	
166	72		Argumento	121	A favor	Lo que hay que tener en cuenta, es, que más horas de apertura no conlleva mayor cantidad de empleados.	1	0	0						
167	72		Argumento	122	A favor	Siempre sale el discurso solidario del -yo es que no puedo ir a comprar cuando quiero- inaudito.	0								
168	72		Argumento	123	En contra	Aunque sea Lcdo. En CCEE y Dir. De RRHH de una multinacional, no debato ni discuto con gente que como usted Intenta menospreciar y hace comentarios tan simplistas.	-1								
169	72		Argumento	124	En contra	Pues que también cierren los hospitales los fines de semana. Porque nosotros tb tenemos familia y libramos a diario.	1	1	1	2	1	1	1	2	
170	72		Aspecto	Impacto social		Evaluación del efecto de la propuesta en la sociedad y la vida comunitaria									
171	72		Argumento	125	A favor	Apoyo la propuesta y te invito a que apoyes Mayor cuidado del centro de Madrid Gracias!.	0								
172	72		Argumento	126	A favor	Hay que conciliar la vida laboral con la familiar. Por favor, ayuden esta propuesta.	1	0	1						
173	72		Argumento	127	A favor	Esto dejará de ser un problema cuando se racionalicen los horarios estilo español de 9 a 21h, llegue la conciliación laboral y familiar de verdad y los salarios sean europeos y no bananeros.	1	0	1						
174	72		Argumento	128	En contra	Mejor que cerrar. Regular correctamente para que no se produzcan abusos.	1	0	1						
175	72		Argumento	129	En contra	Cerremos los bares, teatros, restaurantes, metros, autobues, hospitales, residencias, taxis, urgencias, etc., etc. En estos trabajos también hay personas que tienen familias.	1	1	1	2	1	1	1	2	
176	72		Aspecto	Condiciones de trabajo		Análisis de cómo la propuesta afecta las condiciones de trabajo en los centros comerciales									
177	72		Argumento	130	A favor	Trabajo en una cafetería y no libro ni un fin de semana se supone que esto se hizo así para que hubiese más empleo, pero los empresarios no se molestan en pagar un sueldo más y nos lo comemos nosotros.	1	1	1	1	2	1	2	2	
178	72		Argumento	131	A favor	Si trabajases en un comercio de lunes a domingo pensarías de otra manera!.	0								
179	72		Argumento	132	A favor	Todo para que vengan a tomar un simple café o a descambiar unas zapatillas o porque les apetece estar sentados en los sofás del comercio.	0								
180	72		Argumento	133	En contra	Pues yo prefiero que estén abiertos los domingos.	1	0	0						
181	72		Aspecto	Regulación y legislación		Enfoque en la necesidad de una regulación adecuada para la apertura de centros comerciales en días festivos y domingos									
182	72		Argumento	134	A favor	Estas muy confundido. Ellos abren casi 60 días al año más con el mismo personal que tenían cuando no abrían los festivos.	1	0	1						
183	72		Argumento	135	A favor	Mi opinión es que se regule y que el trabajo sea digno.	1	0	1						
